latitude	longitude	station_name	station_country	station_country_code	record_id	uhslc_id	gloss_id	ssc_id	last_rq_date
37.807	237.535	San Francisco, CA	United States of America (the)	840	5510	551	158	fpnt	2021-12-31T22:59:59Z
38.692	350.583	Cascais	Portugal	620	2090	209	246	casc	2024-12-31T22:59:59Z
39.067	141.717	Ofunato	Japan	392	3510	351	87	ofun	2023-12-31T22:59:59Z
39.355	285.582	Atlantic City	United States of America (the)	840	2640	264	220	acnj	2021-12-31T22:59:59Z
39.453	328.88	Flores, Santa Cruz	Portugal	620	2100	210	244	santf	2009-11-23T22:59:59Z
41.505	288.673	Newport, RI	United States of America (the)	840	2530	253	290	neri	2021-12-31T22:59:59Z
41.745	235.817	Crescent City, CA	United States of America (the)	840	5560	556		cres	2021-12-31T22:59:59Z
41.783	140.733	Hakodate	Japan	392	3640	364	88	hako	2023-12-31T22:59:59Z
42.967	144.383	Kushiro	Japan	392	3500	350	89	kush	2023-12-31T22:59:59Z
43.3	5.35	Marseille	France	250	8240	824	205	mars	2018-12-31T22:59:59Z
43.367	351.6	La Coruna	Spain	724	8300	830	243	coru	2017-12-31T22:59:59Z
44.017	144.283	Abashiri	Japan	392	3470	347	327	abas	2023-12-31T22:59:59Z
44.625	235.957	South Beach, OR	United States of America (the)	840	5920	592	157	sbea	2021-12-31T22:59:59Z
44.667	296.417	Halifax	Canada	124	2750	275	222	hali	2014-08-12T22:59:59Z
45.4	141.683	Wakkanai	Japan	392	3600	360	324	waka	2023-12-31T22:59:59Z
45.647	13.76	Trieste	Italy	380	8290	829	340	trst	
47.567	300.867	Port-aux-basques	Canada	124	2730	273		portj	
47.567	307.283	St. John's	Canada	124	2760	276	223	stjo	2018-12-31T22:59:59Z
48.368	235.383	Neah Bay, WA	United States of America (the)	840	5580	558		neah	2021-12-31T22:59:59Z
48.383	355.5	Brest	France	250	8220	822	242	bres	2018-12-31T22:59:59Z
48.833	234.867	Bamfield	Canada	124	5410	541		bamf	
49.15	234.083	Tofino	Canada	124	5420	542	156	tofi	2018-12-31T22:59:59Z
50.102	354.458	Newlyn, Cornwall	United Kingdom of Great Britain and Northern Ireland (the)	826	2940	294	241	newl	
51.533	350.817	Castletownbere	Ireland	372	8350	835	330	cast	2008-12-31T22:59:59Z
51.858	183.365	Adak, Alaska	United States of America (the)	840	400	40	302	adak	2021-12-31T22:59:59Z
53.867	8.717	Cuxhaven	Germany	276	8250	825	284	cuxh	2023-07-11T22:59:59Z
53.88	193.462	Dutch Harbor, AK	United States of America (the)	840	410	41	102	dutc	2021-12-31T22:59:59Z
54.317	229.667	Prince Rupert	Canada	124	5400	540	155	prin	2018-12-31T22:59:59Z
55.333	228.375	Ketchikan, AK	United States of America (the)	840	5710	571		ketc	2021-12-31T22:59:59Z
55.337	199.498	Sand Point, AK	United States of America (the)	840	5740	574	100	sdpt	2022-12-31T22:59:59Z
55.367	352.667	Malin Head	Ireland	372	8340	834	239	mali	2024-12-31T22:59:59Z
56.55	298.3	Nain	Canada	124	8330	833	224	nain	2018-12-31T22:59:59Z
57.052	224.658	Sitka, AK	United States of America (the)	840	5590	559	154	sitk	2021-12-31T22:59:59Z
57.683	11.8	Goteborgorsh.	Sweden	752	8190	819	233	goto	2014-12-31T22:59:59Z
57.732	207.488	Kodiak Isl., Alaska	United States of America (the)	840	390	39		kodi	2022-12-31T22:59:59Z
58.0	7.567	Tregde	Norway	578	8040	804	321	treg	2018-12-31T22:59:59Z
58.208	353.612	Stornoway	United Kingdom of Great Britain and Northern Ireland (the)	826	2950	295	238	stor	
