,80,90,95,99
dt_mean_26_days_Int_2060,4.0,5.0,6.5,8.5
dt_mean_26_days_IntHigh_2060,2.0,3.0,4.024999999999977,6.0
dt_mean_26_days_High_2060,2.0,2.0500000000000114,3.0,4.0
dt_mean_50_days_Low_2020,17.5,21.0,25.0,48.0
dt_mean_50_days_IntLow_2020,9.5,12.0,14.0,19.504999999999995
dt_mean_50_days_Int_2020,6.0,7.0,9.5,13.504999999999995
dt_mean_50_days_IntHigh_2020,5.0,6.0,7.524999999999977,11.0
dt_mean_50_days_High_2020,4.5,6.0,6.5,9.0
dt_mean_50_days_Low_2030,20.5,24.0,28.0,48.004999999999995
dt_mean_50_days_IntLow_2030,9.5,11.050000000000011,14.5,19.5
dt_mean_50_days_Int_2030,6.0,7.0,9.0,13.0
dt_mean_50_days_IntHigh_2030,5.0,5.5,7.0,9.5
dt_mean_50_days_High_2030,4.0,5.0,6.0,8.0
dt_mean_50_days_Low_2040,22.100000000000023,27.05000000000001,31.0,50.0
dt_mean_50_days_IntLow_2040,9.0,12.0,14.5,20.0
dt_mean_50_days_Int_2040,5.0,7.0,8.5,12.0
dt_mean_50_days_IntHigh_2040,4.0,5.0,6.0,8.0
dt_mean_50_days_High_2040,3.0,4.0,5.0,7.0
dt_mean_50_days_Low_2050,24.100000000000023,29.5,34.02499999999998,
dt_mean_50_days_IntLow_2050,9.0,12.0,14.524999999999977,21.0
dt_mean_50_days_Int_2050,5.0,6.5,8.0,11.0
dt_mean_50_days_IntHigh_2050,4.0,4.0,6.0,7.0049999999999955
dt_mean_50_days_High_2050,2.5,3.5,4.5,6.0
dt_mean_50_days_Low_2060,26.0,32.5,37.52499999999998,
dt_mean_50_days_IntLow_2060,9.5,12.5,14.524999999999977,21.004999999999995
dt_mean_50_days_Int_2060,4.5,6.0,7.0,9.0
dt_mean_50_days_IntHigh_2060,3.0,4.0,5.0,6.5
dt_mean_50_days_High_2060,2.5,3.0,4.0,5.0
dt_median_20_days_Low_2020,9.0,11.5,14.0,24.519999999999982
dt_median_20_days_IntLow_2020,8.5,10.0,11.0,16.0
dt_median_20_days_Int_2020,6.0,7.5,9.0,11.5
dt_median_20_days_IntHigh_2020,5.0,6.5,7.5,10.0
dt_median_20_days_High_2020,4.5,5.5,7.0,8.5
dt_median_20_days_Low_2030,11.0,13.0,16.0,26.514999999999986
dt_median_20_days_IntLow_2030,8.0,9.0,10.5,14.504999999999995
dt_median_20_days_Int_2030,5.5,6.5,8.0,10.5
dt_median_20_days_IntHigh_2030,5.0,5.0,6.5,8.004999999999995
dt_median_20_days_High_2030,3.5,4.0,5.5,7.0
dt_median_20_days_Low_2040,12.5,15.0,17.5,28.00999999999999
dt_median_20_days_IntLow_2040,7.5,9.0,10.5,14.0
dt_median_20_days_Int_2040,4.5,6.0,7.5,9.004999999999995
dt_median_20_days_IntHigh_2040,3.0,4.0,5.5,7.0
dt_median_20_days_High_2040,3.0,3.0,4.5,6.0
dt_median_20_days_Low_2050,14.0,17.5,21.5,30.5
dt_median_20_days_IntLow_2050,7.5,9.0,11.0,14.0
dt_median_20_days_Int_2050,4.0,5.0,6.5,8.504999999999995
dt_median_20_days_IntHigh_2050,3.0,3.5,4.5,6.0
dt_median_20_days_High_2050,2.0,3.0,3.5,5.0
dt_median_20_days_Low_2060,14.600000000000023,18.5,23.024999999999977,32.02499999999998
dt_median_20_days_IntLow_2060,7.0,9.0,10.5,15.0
dt_median_20_days_Int_2060,3.5,4.5,6.0,7.0
dt_median_20_days_IntHigh_2060,2.0,3.0,4.0,5.0
dt_median_20_days_High_2060,2.0,2.0,3.0,4.0
dt_median_26_days_Low_2020,11.100000000000023,14.0,16.0,27.024999999999977
dt_median_26_days_IntLow_2020,9.0,10.5,12.0,16.5
dt_median_26_days_Int_2020,6.5,8.0,9.024999999999977,12.0
dt_median_26_days_IntHigh_2020,5.5,7.0,8.0,9.5
dt_median_26_days_High_2020,5.0,6.0,7.0,9.0
dt_median_26_days_Low_2030,13.5,15.5,17.5,29.00999999999999
dt_median_26_days_IntLow_2030,8.5,10.0,11.524999999999977,16.0
dt_median_26_days_Int_2030,6.0,7.0,8.024999999999977,11.0
